year,mo,data-type,region,extent,area
1998,4,Goddard,N,14.89,12.85
1999,4,Goddard,N,15.08,13.15
2000,4,Goddard,N,14.56,12.60
2001,4,Goddard,N,14.86,13.05
2002,4,Goddard,N,14.30,12.41
2003,4,Goddard,N,14.51,12.46
2004,4,Goddard,N,13.99,12.16
2005,4,Goddard,N,14.09,12.23
2006,4,Goddard,N,13.91,12.04
2007,4,Goddard,N,13.85,11.83
2008,4,Goddard,N,14.35,12.78
2009,4,Goddard,N,14.50,12.92
2010,4,Goddard,N,14.66,12.85
2011,4,Goddard,N,14.11,12.45
2012,4,Goddard,N,14.63,12.87
2013,4,Goddard,N,14.30,12.75
2014,4,Goddard,N,14.09,12.43
2015,4,Goddard,N,13.89,12.33
2016,4,Goddard,N,13.68,11.98
2017,4,Goddard,N,13.75,12.26
2018,4,Goddard,N,13.70,12.28
2019,4,Goddard,N,13.43,11.90
2020,4,Goddard,N,13.62,12.02
2021,4,Goddard,N,13.79,12.18
2022,4,Goddard,N,13.99,12.46
2023,4,NRTSI-G,N,13.99,12.50
1979,5,Goddard,N,13.86,11.11
1980,5,Goddard,N,13.79,10.96
1981,5,Goddard,N,13.80,10.99
1982,5,Goddard,N,13.97,11.17
1983,5,Goddard,N,13.49,10.87
1984,5,Goddard,N,13.58,10.88
1985,5,Goddard,N,14.07,11.25
1986,5,Goddard,N,13.38,10.70
1987,5,Goddard,N,13.74,10.97
1988,5,Goddard,N,13.56,11.41
1989,5,Goddard,N,13.04,11.35
1990,5,Goddard,N,13.23,10.90
1991,5,Goddard,N,13.47,11.50
1992,5,Goddard,N,13.22,11.43
1993,5,Goddard,N,13.37,11.42
1994,5,Goddard,N,13.62,11.66
1995,5,Goddard,N,12.97,10.90
1996,5,Goddard,N,13.09,11.28
1997,5,Goddard,N,13.18,11.24
1998,5,Goddard,N,13.59,11.40
1999,5,Goddard,N,13.75,11.66
2000,5,Goddard,N,13.15,11.24
2001,5,Goddard,N,13.51,11.38
2002,5,Goddard,N,12.97,11.16
2003,5,Goddard,N,13.02,10.89
2004,5,Goddard,N,12.56,10.92
2005,5,Goddard,N,12.91,10.88
2006,5,Goddard,N,12.52,10.45
2007,5,Goddard,N,12.78,10.77
2008,5,Goddard,N,12.97,11.25
2009,5,Goddard,N,13.19,11.48
2010,5,Goddard,N,12.87,10.88
2011,5,Goddard,N,12.68,10.74
2012,5,Goddard,N,13.01,11.05
2013,5,Goddard,N,13.00,11.25
2014,5,Goddard,N,12.70,11.05
2015,5,Goddard,N,12.47,10.90
2016,5,Goddard,N,11.92,10.25
2017,5,Goddard,N,12.63,11.01
2018,5,Goddard,N,12.23,10.81
2019,5,Goddard,N,12.19,10.50
2020,5,Goddard,N,12.34,10.51
2021,5,Goddard,N,12.68,10.86
2022,5,Goddard,N,12.88,11.10
2023,5,NRTSI-G,N,12.83,11.02
1979,6,Goddard,N,12.53,9.34
1980,6,Goddard,N,12.20,9.00
1981,6,Goddard,N,12.43,9.03
1982,6,Goddard,N,12.48,9.46
1983,6,Goddard,N,12.30,9.27
1984,6,Goddard,N,12.15,9.09
1985,6,Goddard,N,12.22,8.96
1986,6,Goddard,N,11.98,8.99
1987,6,Goddard,N,12.49,9.39
1988,6,Goddard,N,11.94,9.68
1989,6,Goddard,N,12.24,9.95
1990,6,Goddard,N,11.64,9.20
1991,6,Goddard,N,12.11,9.66
1992,6,Goddard,N,12.15,9.95
1993,6,Goddard,N,11.87,9.26
1994,6,Goddard,N,12.02,9.68
1995,6,Goddard,N,11.44,8.94
1996,6,Goddard,N,12.08,9.83
1997,6,Goddard,N,11.74,9.20
1998,6,Goddard,N,11.71,9.18
1999,6,Goddard,N,11.78,9.25
2000,6,Goddard,N,11.67,9.05
2001,6,Goddard,N,11.46,9.09
2002,6,Goddard,N,11.58,9.19
2003,6,Goddard,N,11.60,9.11
2004,6,Goddard,N,11.45,9.24
2005,6,Goddard,N,11.16,8.81
2006,6,Goddard,N,10.92,8.41
2007,6,Goddard,N,11.22,8.21
2008,6,Goddard,N,11.21,8.85
2009,6,Goddard,N,11.32,9.25
2010,6,Goddard,N,10.59,8.37
2011,6,Goddard,N,10.75,8.54
2012,6,Goddard,N,10.67,8.16
2013,6,Goddard,N,11.36,8.95
2014,6,Goddard,N,11.03,8.76
2015,6,Goddard,N,10.88,8.70
2016,6,Goddard,N,10.41,8.21
2017,6,Goddard,N,10.76,8.63
2018,6,Goddard,N,10.78,8.79
2019,6,Goddard,N,10.59,8.32
2020,6,Goddard,N,10.59,8.41
2021,6,Goddard,N,10.77,8.39
2022,6,Goddard,N,10.88,8.61
2023,6,NRTSI-G,N,10.96,8.71
1979,7,Goddard,N,10.31,6.69
1980,7,Goddard,N,10.10,6.53
1981,7,Goddard,N,10.27,6.31
1982,7,Goddard,N,10.37,6.87
1983,7,Goddard,N,10.57,6.86
1984,7,Goddard,N,9.98,6.30
1985,7,Goddard,N,9.74,5.99
1986,7,Goddard,N,10.15,6.62
1987,7,Goddard,N,10.33,6.55
1988,7,Goddard,N,9.81,7.01
1989,7,Goddard,N,10.13,7.33
1990,7,Goddard,N,9.25,6.52
1991,7,Goddard,N,9.51,6.76
1992,7,Goddard,N,10.32,7.22
1993,7,Goddard,N,9.48,6.28
1994,7,Goddard,N,9.93,6.92
1995,7,Goddard,N,8.99,6.16
1996,7,Goddard,N,10.16,7.44
1997,7,Goddard,N,9.41,6.50
1998,7,Goddard,N,9.42,6.45
1999,7,Goddard,N,9.49,6.55
2000,7,Goddard,N,9.51,6.39
2001,7,Goddard,N,9.07,6.29
2002,7,Goddard,N,9.27,6.44
2003,7,Goddard,N,9.21,6.15
2004,7,Goddard,N,9.43,6.51
2005,7,Goddard,N,8.65,5.90
2006,7,Goddard,N,8.46,5.79
2007,7,Goddard,N,7.94,5.13
2008,7,Goddard,N,8.68,6.06
2009,7,Goddard,N,8.47,6.12
2010,7,Goddard,N,8.07,5.57
2011,7,Goddard,N,7.72,5.40
2012,7,Goddard,N,7.67,5.09
2013,7,Goddard,N,8.13,5.81
2014,7,Goddard,N,8.11,5.96
2015,7,Goddard,N,8.38,5.66
2016,7,Goddard,N,7.94,5.37
2017,7,Goddard,N,7.94,5.65
2018,7,Goddard,N,8.27,5.76
2019,7,Goddard,N,7.59,5.13
2020,7,Goddard,N,7.29,5.07
2021,7,Goddard,N,7.65,5.53
2022,7,Goddard,N,8.29,5.89
2023,7,NRTSI-G,N,8.18,5.54
1979,8,Goddard,N,8.04,5.06
1980,8,Goddard,N,7.98,4.94
1981,8,Goddard,N,7.84,4.48
1982,8,Goddard,N,8.14,5.00
1983,8,Goddard,N,8.19,4.97
1984,8,Goddard,N,7.77,4.68
1985,8,Goddard,N,7.40,4.60
1986,8,Goddard,N,7.98,5.01
1987,8,Goddard,N,7.63,-9999
1988,8,Goddard,N,7.89,5.42
1989,8,Goddard,N,7.88,5.56
1990,8,Goddard,N,6.80,4.99
1991,8,Goddard,N,7.42,5.21
1992,8,Goddard,N,7.93,5.44
1993,8,Goddard,N,7.33,4.76
1994,8,Goddard,N,7.64,5.19
1995,8,Goddard,N,6.74,4.69
1996,8,Goddard,N,8.18,5.73
1997,8,Goddard,N,7.29,5.09
1998,8,Goddard,N,7.51,4.69
1999,8,Goddard,N,7.23,4.75
2000,8,Goddard,N,7.17,4.78
2001,8,Goddard,N,7.46,4.94
2002,8,Goddard,N,6.60,4.32
2003,8,Goddard,N,6.94,4.52
2004,8,Goddard,N,6.85,4.67
2005,8,Goddard,N,6.30,4.21
2006,8,Goddard,N,6.50,4.31
2007,8,Goddard,N,5.34,3.19
2008,8,Goddard,N,5.91,3.79
2009,8,Goddard,N,6.14,4.16
2010,8,Goddard,N,5.87,3.88
2011,8,Goddard,N,5.50,3.38
2012,8,Goddard,N,4.72,2.93
2013,8,Goddard,N,6.01,4.17
2014,8,Goddard,N,6.08,4.37
2015,8,Goddard,N,5.60,3.63
2016,8,Goddard,N,5.37,3.31
2017,8,Goddard,N,5.48,3.64
2018,8,Goddard,N,5.61,3.90
2019,8,Goddard,N,5.03,3.24
2020,8,Goddard,N,5.07,3.10
2021,8,Goddard,N,5.71,3.78
2022,8,Goddard,N,5.95,4.03
2023,8,NRTSI-G,N,5.57,3.52
1979,9,Goddard,N,7.05,4.58
1980,9,Goddard,N,7.67,4.87
1981,9,Goddard,N,7.14,4.44
1982,9,Goddard,N,7.30,4.43
1983,9,Goddard,N,7.39,4.70
1984,9,Goddard,N,6.81,4.11
1985,9,Goddard,N,6.70,4.23
1986,9,Goddard,N,7.41,4.72
1987,9,Goddard,N,7.28,5.64
1988,9,Goddard,N,7.37,5.36
1989,9,Goddard,N,7.01,4.86
1990,9,Goddard,N,6.14,4.55
1991,9,Goddard,N,6.47,4.51
1992,9,Goddard,N,7.47,5.43
1993,9,Goddard,N,6.40,4.58
1994,9,Goddard,N,7.14,5.13
1995,9,Goddard,N,6.08,4.43
1996,9,Goddard,N,7.58,5.62
1997,9,Goddard,N,6.69,4.89
1998,9,Goddard,N,6.54,4.30
1999,9,Goddard,N,6.12,4.29
2000,9,Goddard,N,6.25,4.35
2001,9,Goddard,N,6.73,4.59
2002,9,Goddard,N,5.83,4.03
2003,9,Goddard,N,6.12,4.05
2004,9,Goddard,N,5.98,4.39
2005,9,Goddard,N,5.50,4.07
2006,9,Goddard,N,5.86,4.01
2007,9,Goddard,N,4.27,2.82
2008,9,Goddard,N,4.69,3.26
2009,9,Goddard,N,5.26,3.76
2010,9,Goddard,N,4.87,3.34
2011,9,Goddard,N,4.56,3.21
2012,9,Goddard,N,3.57,2.41
2013,9,Goddard,N,5.21,3.78
2014,9,Goddard,N,5.22,3.74
2015,9,Goddard,N,4.62,3.42
2016,9,Goddard,N,4.53,2.91
2017,9,Goddard,N,4.82,3.35
2018,9,Goddard,N,4.79,3.35
2019,9,Goddard,N,4.36,3.17
2020,9,Goddard,N,4.00,2.83
2021,9,Goddard,N,4.95,3.47
2022,9,Goddard,N,4.90,3.47
2023,9,NRTSI-G,N,4.37,2.79
1979,10,Goddard,N,8.75,6.19
1980,10,Goddard,N,9.18,6.50
1981,10,Goddard,N,8.86,6.27
1982,10,Goddard,N,9.42,6.67
1983,10,Goddard,N,9.33,6.79
1984,10,Goddard,N,8.56,5.91
1985,10,Goddard,N,8.55,6.12
1986,10,Goddard,N,9.48,6.83
1987,10,Goddard,N,9.05,7.49
1988,10,Goddard,N,9.13,7.52
1989,10,Goddard,N,8.83,6.96
1990,10,Goddard,N,8.48,6.74
1991,10,Goddard,N,8.54,6.75
1992,10,Goddard,N,9.32,7.74
1993,10,Goddard,N,8.79,7.06
1994,10,Goddard,N,8.92,7.23
1995,10,Goddard,N,7.83,5.99
1996,10,Goddard,N,9.16,7.54
1997,10,Goddard,N,8.34,6.47
1998,10,Goddard,N,8.45,6.71
1999,10,Goddard,N,8.60,6.83
2000,10,Goddard,N,8.38,6.69
2001,10,Goddard,N,8.30,6.65
2002,10,Goddard,N,8.16,6.24
2003,10,Goddard,N,7.85,5.98
2004,10,Goddard,N,7.93,6.40
2005,10,Goddard,N,7.35,5.78
2006,10,Goddard,N,7.54,5.80
2007,10,Goddard,N,6.04,4.33
2008,10,Goddard,N,7.35,5.77
2009,10,Goddard,N,6.92,5.24
2010,10,Goddard,N,6.98,5.48
2011,10,Goddard,N,6.46,5.02
2012,10,Goddard,N,5.89,4.58
2013,10,Goddard,N,7.45,5.95
2014,10,Goddard,N,7.23,5.70
2015,10,Goddard,N,6.97,5.49
2016,10,Goddard,N,6.08,4.40
2017,10,Goddard,N,6.77,5.30
2018,10,Goddard,N,6.13,4.59
2019,10,Goddard,N,5.73,4.53
2020,10,Goddard,N,5.33,4.11
2021,10,Goddard,N,6.82,5.43
2022,10,Goddard,N,6.66,5.25
2023,10,NRTSI-G,N,6.37,4.86
1978,11,Goddard,N,11.65,9.04
1979,11,Goddard,N,10.94,8.37
1980,11,Goddard,N,11.38,8.73
1981,11,Goddard,N,10.93,8.31
1982,11,Goddard,N,11.63,9.06
1983,11,Goddard,N,11.46,8.99
1984,11,Goddard,N,10.84,8.24
1985,11,Goddard,N,11.02,8.42
1986,11,Goddard,N,11.45,8.87
1987,11,Goddard,N,11.22,9.73
1988,11,Goddard,N,11.33,9.91
1989,11,Goddard,N,11.12,9.46
1990,11,Goddard,N,11.08,9.64
1991,11,Goddard,N,10.88,9.25
1992,11,Goddard,N,11.38,9.75
1993,11,Goddard,N,11.32,9.54
1994,11,Goddard,N,11.12,9.71
1995,11,Goddard,N,10.76,9.03
1996,11,Goddard,N,10.40,8.77
1997,11,Goddard,N,10.68,9.07
1998,11,Goddard,N,10.44,8.88
1999,11,Goddard,N,10.80,9.26
2000,11,Goddard,N,10.32,8.87
2001,11,Goddard,N,10.66,9.08
2002,11,Goddard,N,10.34,8.75
2003,11,Goddard,N,10.13,8.57
2004,11,Goddard,N,10.34,8.95
2005,11,Goddard,N,10.22,8.80
2006,11,Goddard,N,9.66,8.13
2007,11,Goddard,N,9.76,8.06
2008,11,Goddard,N,10.34,9.05
2009,11,Goddard,N,9.77,8.36
2010,11,Goddard,N,9.61,8.43
2011,11,Goddard,N,9.77,8.52
2012,11,Goddard,N,9.39,8.06
2013,11,Goddard,N,9.94,8.66
2014,11,Goddard,N,10.11,8.75
2015,11,Goddard,N,9.85,8.48
2016,11,Goddard,N,8.66,7.01
2017,11,Goddard,N,9.49,8.08
2018,11,Goddard,N,9.82,8.43
2019,11,Goddard,N,9.35,7.98
2020,11,Goddard,N,8.99,7.53
2021,11,Goddard,N,9.83,8.57
2022,11,Goddard,N,9.73,8.52
2023,11,NRTSI-G,N,9.66,8.30
1978,12,Goddard,N,13.67,10.90
1979,12,Goddard,N,13.34,10.63
1980,12,Goddard,N,13.59,10.78
1981,12,Goddard,N,13.34,10.54
1982,12,Goddard,N,13.64,10.88
1983,12,Goddard,N,13.30,10.63
1984,12,Goddard,N,12.99,10.27
1985,12,Goddard,N,13.05,10.24
1986,12,Goddard,N,13.22,10.53
1987,12,-9999,N,-9999,-9999
1988,12,Goddard,N,13.63,11.99
1989,12,Goddard,N,13.39,11.61
1990,12,Goddard,N,13.11,11.47
1991,12,Goddard,N,12.95,11.19
1992,12,Goddard,N,13.41,11.72
1993,12,Goddard,N,13.32,11.48
1994,12,Goddard,N,13.27,11.49
1995,12,Goddard,N,12.92,11.09
1996,12,Goddard,N,12.86,11.03
1997,12,Goddard,N,13.08,11.24
1998,12,Goddard,N,12.76,10.91
1999,12,Goddard,N,12.64,10.99
2000,12,Goddard,N,12.64,10.96
2001,12,Goddard,N,12.49,10.55
2002,12,Goddard,N,12.61,10.64
2003,12,Goddard,N,12.59,10.80
2004,12,Goddard,N,12.55,10.98
2005,12,Goddard,N,12.23,10.56
2006,12,Goddard,N,11.95,10.17
2007,12,Goddard,N,12.03,10.18
2008,12,Goddard,N,12.36,10.97
2009,12,Goddard,N,12.20,10.59
2010,12,Goddard,N,11.83,10.43
2011,12,Goddard,N,12.15,10.63
2012,12,Goddard,N,12.01,10.45
2013,12,Goddard,N,12.18,10.87
2014,12,Goddard,N,12.35,10.89
2015,12,Goddard,N,12.04,10.64
2016,12,Goddard,N,11.46,9.62
2017,12,Goddard,N,11.74,10.26
2018,12,Goddard,N,11.86,10.45
2019,12,Goddard,N,11.90,10.52
2020,12,Goddard,N,11.73,10.16
2021,12,Goddard,N,12.15,10.74
2022,12,Goddard,N,11.89,10.27
2023,12,NRTSI-G,N,12.00,10.31
